English,Czech
you,vy
i,já
to,na
a,A
s,s
it,to
and,a
that,že
t,T
of,z
is,je
in,v
what,co
we,my
me,mě
this,tento
he,on
for,pro
my,můj
on,na
have,mít
your,tvůj
do,dělat
was,byl
m,m
no,Ne
not,ne
be,být
are,jsou
don,don
re,re
know,vědět
can,umět
with,s
but,ale
all,Všechno
so,tak
just,prostě
there,tam
here,tady
they,ony
like,jako
ll,ll
get,dostat
she,ona
go,jít
if,-li
right,že jo
out,ven
about,o
up,nahoru
at,v
him,mu
now,Nyní
oh,Ach
one,jeden
come,Přijít
well,studna
her,její
how,jak
yeah,to jo
ve,ve
will,vůle
got,GOT
want,chtít
think,myslet si
as,tak jako
see,vidět
did,dělal
good,dobrý
who,SZO
why,proč
from,z
let,nechat
his,jeho
yes,Ano
when,když
going,děje
time,čas
okay,dobře
back,zadní
look,Koukni se
us,nás
would,bych
them,jim
where,kde
were,byli
take,vzít
then,pak
had,měl
or,nebo
been,byl
our,náš
gonna,bude
tell,sdělit
really,opravdu
man,muž
some,nějaký
say,říci
hey,Ahoj
could,mohl
d,d
didn,Copak
by,podle
need,potřeba
something,něco
has,má
too,také
more,více
way,způsob
down,dolů
make,udělat
very,velmi
never,nikdy
only,pouze
people,lidé
over,přes
because,protože
little,málo
please,prosím
love,milovat
should,by měl
mean,znamenat
said,řekl
sorry,Promiňte
give,dát
off,vypnuto
am,dopoledne
thank,poděkovat
any,žádný
two,dva
even,dokonce
much,hodně
doing,dělá
sure,Tak určitě
thing,věc
these,tyto
help,Pomoc
first,První
into,do
anything,cokoliv
still,ještě pořád
find,nalézt
life,život
nothing,nic
sir,Vážený pane
day,den
god,Bůh
work,práce
their,jejich
uh,uh
again,znovu
maybe,možná
must,musí
before,před
other,jiný
wait,Počkejte
stop,stop
call,volání
after,po
won,vyhrál
talk,mluvit
away,pryč
than,než
thought,myslel
home,Domov
night,noc
put,dát
great,skvělý
those,ty
last,poslední
better,lepší
everything,všechno
told,řekl
mr.,pan.
new,Nový
things,věci
always,vždy
keep,držet
long,dlouho
years,léta
leave,odejít
does,dělá
money,peníze
around,kolem
doesn,Nemá
name,název
place,místo
ever,vůbec
feel,cítit
guys,kluci
father,otec
guy,chlap
made,vyrobený
old,starý
isn,iSN
which,který
big,velký
lot,hodně
done,Hotovo
hello,Ahoj
nice,pěkný
believe,věřit
girl,dívka
someone,někdo
fine,pokuta
thanks,dík
wanted,chtěl
kind,druh
coming,příchod
house,Dům
every,každý
ok,OK
through,přes
being,bytost
course,chod
stay,pobyt
left,"vlevo, odjet"
dad,Táto
enough,dost
happened,Stalo
came,přišel
may,smět
mother,matka
wrong,špatně
world,svět
bad,špatný
might,mohl
three,tři
today,dnes
listen,poslouchat
another,další
understand,rozumět
hear,slyšet
remember,zapamatovat si
ask,zeptat se
own,vlastní
same,stejný
show,ukázat
else,jiný
kill,zabít
talking,mluvící
found,nalezeno
next,další
getting,získávání
care,péče
car,auto
looking,hledá
son,syn
try,Snaž se
woman,žena
went,šel
hi,Ahoj
dead,mrtvý
many,mnoho
mind,mysl
wasn,nebyl
friend,přítel
best,nejlepší
mom,maminka
hell,peklo
morning,ráno
trying,snaží
boy,chlapec
together,spolu
yourself,vy sám
job,práce
saw,viděl
family,rodina
real,nemovitý
without,bez
baby,dítě
room,"pokoj, místnost"
wouldn,wouldn
already,již
move,hýbat se
most,většina
seen,vidět
live,žít
miss,"slečna, minout"
actually,vlastně
huh,hm
shit,hovno
both,oba
